symptoms,urgency,scenario_id
"For the past couple of days, I have had loss of consciousness and not responding normally.",High,H05
Symptoms: a swollen ankle after a fall and walking is painful.,Moderate,M24
Been having ongoing nausea with reduced food and fluid intake for several hours.,Moderate,M25
Been having a sore throat with fever and difficulty swallowing food over the last few days.,Moderate,M36
"Loss of consciousness and not responding normally, and it seems to be getting worse.",High,H05
I would like to get checked because I have loss of consciousness and not responding normally.,High,H05
"For the past couple of days, I have had a mild headache.",Low,L01
I have mild skin itching with no swelling and need advice.,Low,L20
Symptoms: severe breathing difficulty with confusion or extreme drowsiness.,High,H40
"Slight bloating after meals, and it is bothering me.",Low,L31
Been having several seizures occurring close together since yesterday.,High,H18
I need help with mild stomach discomfort after eating since this morning.,Low,L11
I would like to get checked because I have rapid swelling of the tongue or throat.,High,H34
Can someone help me? I have mild seasonal allergy symptoms.,Low,L32
The problem is slight loss of appetite for one day but I can drink normally; and it seems to be getting worse.,Low,L38
Can someone help me? I have a runny nose with sneezing.,Low,L02
"For the past couple of days, I have had mild menstrual cramps that are manageable.",Low,L21
I am experiencing mild tooth sensitivity over the last few days.,Low,L23
I've got sudden loss of vision in one or both eyes for the past three days.,High,H32
I have sudden inability to speak clearly with one-sided weaknes and need advice.,High,H09
I am dealing with ongoing nausea with reduced food and fluid intake; and I would like to speak to a clinician.,Moderate,M25
"For the past couple of days, I have had a collapse and the person is not waking properly.",High,H16
I have been having a nosebleed that keeps returning but stops with pressure.,Moderate,M34
I need help with mild menstrual cramps that are manageable; and I am not sure what to do.,Low,L21
Been having a high fever that has lasted for several days for two days.,Moderate,M01
I've got a strong headache with dizziness but no weakness on one side.,Moderate,M13
I would like to get checked because I have I cannot breathe properly.,High,H03
Been having a small itchy insect bite over the last few days.,Low,L22
I am experiencing severe asthma symptoms and unable to speak full sentences since this morning.,High,H35
I have a small bruise with no major swelling and need advice.,Low,L17
The problem is a small cut that has already stopped bleeding over the last few days.,Low,L09
I need help with back pain that is making normal movement difficult since this morning.,Moderate,M23
Lately I have had a sore throat with fever and difficulty swallowing food since this morning.,Moderate,M36
Been having a swollen painful joint for the past three days.,Moderate,M14
Can someone help me? I have minor ankle soreness and I can still walk normally.,Low,L13
I need help with sudden inability to speak clearly with one-sided weakness; and it seems to be getting worse.,High,H09
I would like to get checked because I have a worsening cough together with fever.,Moderate,M08
Been having a painful burn over a small area of skin for two days.,Moderate,M28
My main problem is severe chest pain; and it is bothering me.,High,H01
I would like to get checked because I have mild arm soreness after normal activity.,Low,L35
Symptoms: itchy watery eyes.,Low,L06
I have been having a minor rash with no fever or swelling since yesterday.,Low,L34
Symptoms: a sore throat with fever and difficulty swallowing food.,Moderate,M36
Can someone help me? I have dizziness that keeps coming back.,Moderate,M04
I am experiencing a runny nose with sneezing for several hours.,Low,L02
Been having itchy watery eyes for the past three days.,Low,L06
Symptoms: a nosebleed that keeps returning but stops with pressure.,Moderate,M34
Can someone help me? I have sudden loss of vision in one or both eyes.,High,H32
"For the past couple of days, I have had a blocked nose.",Low,L03
"Slight tiredness after poor sleep, and I would like to speak to a clinician.",Low,L16
Symptoms: heavy bleeding that will not stop.,High,H04
"A small bruise with no major swelling, and it seems to be getting worse.",Low,L17
I have a severe allergic reaction with throat swelling and breathing dificulty and need advice.,High,H12
I have a strong headach with dizziness but no weakness on one side and need advice.,Moderate,M13
I would like to get checked because I have repeated heart palpitations without chest pain or fainting.,Moderate,M22
Can someone help me? I have mild tooth sensitivity.,Low,L23
"For the past couple of days, I have had heavy bleeding that will not stop.",High,H04
I need help with moderate wheezing that improves when I rest.,Moderate,M37
I have heavy bleeding that will not stop and need advice.,High,H04
"A suspected medication overdose with severe drowsiness, and I would like to speak to a clinician.",High,H24
I am dealing with a small itchy insect bite since yesterday.,Low,L22
I have severe dificulty breathing at rest and need advice.,High,H02
I am dealing with a small cut with light bleeding that stops with pressure since last night.,Low,L36
I have mild seasonal allergy symptoms and need advice.,Low,L32
I would like to get checked because I have a small cut with light bleeding that stops with pressure.,Low,L36
Symptoms: mild cold symptoms.,Low,L15
Symptoms: vomiting blood.,High,H30
"For the past couple of days, I have had severe shortness of breath while sitting still.",High,H19
Symptoms: pain that is strong enough to limit my normal activities.,Moderate,M03
The problem is dental swelling and significant tooth pain since yesterday.,Moderate,M29
The problem is mild stomach discomfort after eating; and it is bothering me.,Low,L11
"For the past couple of days, I have had severe difficulty breathing at rest.",High,H02
Symptoms: a blocked nose.,Low,L03
"A small cut with light bleeding that stops with pressure, and I am not sure what to do.",Low,L36
I've got a severe head injury followed by loss of consciousness; and I am not sure what to do.,High,H14
I've got an allergic rash with swelling but normal breathing.,Moderate,M32
"For the past couple of days, I have had several seizures occurring close together.",High,H18
My main problem is a high fever that has lasted for several days.,Moderate,M01
"A mild tension headache after a stressful day, and it seems to be getting worse.",Low,L39
Lately I have had thoughts of suicide with an immediate plan to act for the past three days.,High,H27
"For the past couple of days, I have had sudden inability to speak clearly with one-sided weakness.",High,H09
I need help with a swollen painful joint over the last few days.,Moderate,M14
"For the past couple of days, I have had a strong headache with dizziness but no weakness on one side.",Moderate,M13
I need help with mild tooth sensitivity; and I would like medical advice.,Low,L23
Can someone help me? I have a mildly hoarse voice.,Low,L27
I am experiencing vomiting during pregnancy and struggling to keep fluids down; and I would like to speak to a clinician.,Moderate,M31
The problem is a runny nose with sneezing.,Low,L02
Been having mild stomach discomfort after eating since last night.,Low,L11
Can someone help me? I have severe breathing difficulty with confusion or extreme drowsiness.,High,H40
Symptoms: an allergic rash with swelling but normal breathing.,Moderate,M32
I have a high feveer that has lasted for several days and need advice.,Moderate,M01
Symptoms: a mild dry cough without fever.,Low,L05
I have mild heartburn after eating.,Low,L18
"A mild cough with no breathing difficulty, and I am not sure what to do.",Low,L37
Can someone help me? I have mild sinus pressure with no fever.,Low,L26
The problem is slight nausea without vomiting since yesterday.,Low,L12
"Dental swelling and significant tooth pain, and I am not sure what to do.",Moderate,M29
I have an infected cut with increasing redness and swelling and need advice.,Moderate,M15
"Coughing up blood together with breathing difficulty, and I would like to speak to a clinician.",High,H11
My main problem is a mild sore throat; and it has not improved.,Low,L04
Been having pain that is strong enough to limit my normal activities since yesterday.,Moderate,M03
Been having worsening asthma symptoms but I can still speak normally for several hours.,Moderate,M12
I've got an infected cut with increasing redness and swelling; and I am concerned about it.,Moderate,M15
The problem is persistent vomiting and difficulty keeping food down.,Moderate,M02
Can someone help me? I have fever that has continued for three days.,Moderate,M20
Been having heavy bleeding that will not stop since yesterday.,High,H04
I have a painful burn over a small area of skin and need advice.,Moderate,M28
"For the past couple of days, I have had moderate wheezing that improves when I rest.",Moderate,M37
"Dizziness that keeps coming back, and it has not improved.",Moderate,M04
"A nosebleed that keeps returning but stops with pressure, and I am concerned about it.",Moderate,M34
"For the past couple of days, I have had a very high fever with stiff neck and confusion.",High,H28
I have a dry patch of skin; and I am not sure what to do.,Low,L25
I would like to get checked because I have blue lips together with severe breathing difficulty.,High,H13
Lately I have had a swollen ankle after a fall and walking is painful.,Moderate,M24
"A sore throat with fever and difficulty swallowing food, and it has not improved.",Moderate,M36
Been having severe shortness of breath while sitting still for the past three days.,High,H19
I've got a mild lower back ache after sitting for a long time.,Low,L08
I have a chronic condition that has become noticeably worse and need advice.,Moderate,M19
Symptoms: rapid swelling of the tongue or throat.,High,H34
Can someone help me? I have a small itchy insect bite.,Low,L22
"For the past couple of days, I have had a worsening cough together with fever.",Moderate,M08
Lately I have had a blocked nose; and I would like medical advice.,Low,L03
"For the past couple of days, I have had possible stroke symptoms.",High,H07
Can someone help me? I have occasional constipation without severe pain.,Low,L19
Symptoms: becoming unresponsive after taking an unknown substance.,High,H39
Can someone help me? I have mild menstrual cramps that are manageable.,Low,L21
My main problem is a painful wrist after a fall with significant swelling since last night.,Moderate,M33
I would like to get checked because I have slight nausea without vomiting.,Low,L12
"Slight loss of appetite for one day but i can drink normally, and it seems to be getting worse.",Low,L38
"For the past couple of days, I have had a high fever that has lasted for several days.",Moderate,M01
I have sevre asthma symptoms and unable to speak full sentences and need advice.,High,H35
Symptoms: severe shortness of breath while sitting still.,High,H19
"A minor rash with no fever or swelling, and I am concerned about it.",Low,L34
I am dealing with severe asthma symptoms and unable to speak full sentences.,High,H35
I've got an allergic rash with swelling but normal breathing; and I would like to speak to a clinician.,Moderate,M32
Symptoms: sudden confusion together with difficulty speaking.,High,H21
I am experiencing sudden severe weakness on one side of the body over the last few days.,High,H20
Symptoms: a painful wrist after a fall with significant swelling.,Moderate,M33
My main problem is occasional constipation without severe pain for several hours.,Low,L19
The problem is mild eye irritation without vision changes over the last few days.,Low,L33
I'm worried about a very high fever with stiff neck and confusion since yesterday.,High,H28
Symptoms: mild menstrual cramps that are manageable.,Low,L21
Been having mild eye irritation without vision changes since yesterday.,Low,L33
I've got recurrent abdominal cramps with vomiting since this morning.,Moderate,M38
I have mild ear discomfort without feveer and need advice.,Low,L14
"Worsening fatigue with fever and poor appetite, and I am not sure what to do.",Moderate,M40
"For the past couple of days, I have had mild arm soreness after normal activity.",Low,L35
I am dealing with a red painful wound that looks infected.,Moderate,M06
"Rapid swelling of the tongue or throat, and I am not sure what to do.",High,H34
I would like to get checked because I have severe difficulty breathing at rest.,High,H02
Lately I have had blue lips together with severe breathing difficulty; and I would like to speak to a clinician.,High,H13
Symptoms: a high fever that has lasted for several days.,Moderate,M01
Been having severe chest pain since yesterday.,High,H01
I've got mild seasonal allergy symptoms for the past three days.,Low,L32
Been having mild ear discomfort without fever since this morning.,Low,L14
Been having moderate wheezing that improves when I rest since last night.,Moderate,M37
Been having painful urination with fever over the last few days.,Moderate,M07
I am dealing with sudden face drooping with weakness in one arm.,High,H08
Been having a migraine with nausea and sensitivity to light since this morning.,Moderate,M21
Symptoms: black tar-like stool together with severe weakness or faintness.,High,H31
I'm worried about dental swelling and significant tooth pain.,Moderate,M29
I have been having mild sinus pressure with no fever; and I would like medical advice.,Low,L26
I need help with possible stroke symptoms over the last few days.,High,H07
Can someone help me? I have I cannot breathe properly.,High,H03
Symptoms: fever with body aches and weakness.,Moderate,M10
"A painful wrist after a fall with significant swelling, and I would like medical advice.",Moderate,M33
I've got dizziness that keeps coming back over the last few days.,Moderate,M04
"For the past couple of days, I have had mild shoulder soreness after carrying bags.",Low,L29
Symptoms: signs of dehydration such as a dry mouth and very little urine.,Moderate,M05
I'm worried about mild heartburn after eating since last night.,Low,L18
I have a very high feveer with stiff neck and confusion and need advice.,High,H28
My main problem is sudden inability to speak clearly with one-sided weakness.,High,H09
Can someone help me? I have persistent diarrhoea for more than a day.,Moderate,M11
"For the past couple of days, I have had becoming unresponsive after taking an unknown substance.",High,H39
Been having slight bloating after meals since this morning.,Low,L31
Symptoms: mild knee pain after exercise.,Low,L28
"For the past couple of days, I have had mild cold symptoms.",Low,L15
I need help with loss of consciousness and not responding normally; and it has not improved.,High,H05
I am dealing with severe difficulty breathing at rest for the past three days.,High,H02
Symptoms: loss of consciousness and not responding normally.,High,H05
Been having a major injury with uncontrolled bleeding since yesterday.,High,H22
Symptoms: a chronic condition that has become noticeably worse.,Moderate,M19
I have a severe allergic reaction with throat swelling and breathing difficulty; and it has not improved.,High,H12
"For the past couple of days, I have had a severe head injury followed by loss of consciousness.",High,H14
I would like to get checked because I have a small cut that has already stopped bleeding.,Low,L09
"A seizure that has continued for several minutes, and I am concerned about it.",High,H17
Symptoms: sudden inability to speak clearly with one-sided weakness.,High,H09
Been having mild indigestion for the past three days.,Low,L30
"Sudden severe weakness on one side of the body, and it seems to be getting worse.",High,H20
Can someone help me? I have becoming unresponsive after taking an unknown substance.,High,H39
I am experiencing becoming unresponsive after taking an unknown substance for several hours.,High,H39
"For the past couple of days, I have had repeated heart palpitations without chest pain or fainting.",Moderate,M22
Been having heavy bleeding during pregnancy with severe abdominal pain for several hours.,High,H26
I need help with rapid swelling of the tongue or throat.,High,H34
I've got repeated vomiting over several hours; and I would like to speak to a clinician.,Moderate,M17
I need help with heavy bleeding that will not stop for several hours.,High,H04
I'm worried about a repeat prescription request with no new symptoms since last night.,Low,L10
I would like to get checked because I have a blocked nose.,Low,L03
Symptoms: mild stomach discomfort after eating.,Low,L11
I'm worried about persistent vomiting and difficulty keeping food down; and I would like medical advice.,Moderate,M02
Can someone help me? I have a strong headache with dizziness but no weakness on one side.,Moderate,M13
Been having repeated vomiting over several hours since yesterday.,Moderate,M17
I've got severe abdominal pain together with fainting.,High,H29
I have a red painful wound that looks infected and need advice.,Moderate,M06
I have been having signs of dehydration such as a dry mouth and very little urine for the past three days.,Moderate,M05
I have mild skin itching with no swelling since this morning.,Low,L20
I have a small cut that has already stopped bleeding and need advice.,Low,L09
Symptoms: mild ear discomfort without fever.,Low,L14
Can someone help me? I have mild stomach discomfort after eating.,Low,L11
I would like to get checked because I have mild knee pain after exercise.,Low,L28
I have choking and unable to breathe and need advice.,High,H10
Symptoms: a red painful wound that looks infected.,Moderate,M06
I have been having coughing up blood together with breathing difficulty since this morning.,High,H11
Symptoms: a mild headache.,Low,L01
"A repeat prescription request with no new symptoms, and it is bothering me.",Low,L10
I am experiencing worsening fatigue with fever and poor appetite for the past three days.,Moderate,M40
I have a mild cough with no breathing dificulty and need advice.,Low,L37
Can someone help me? I have mild eye irritation without vision changes.,Low,L33
Been having an allergic rash with swelling but normal breathing since this morning.,Moderate,M32
Symptoms: dental swelling and significant tooth pain.,Moderate,M29
I would like to get checked because I have a very red painful eye but I can still see normally.,Moderate,M30
"Heavy bleeding that will not stop, and it has not improved.",High,H04
The problem is slight tiredness after poor sleep; and I am concerned about it.,Low,L16
Can someone help me? I have vomiting blood.,High,H30
Can someone help me? I have a sore throat with fever and difficulty swallowing food.,Moderate,M36
Symptoms: a mild lower back ache after sitting for a long time.,Low,L08
"For the past couple of days, I have had mild sinus pressure with no fever.",Low,L26
"For the past couple of days, I have had sudden face drooping with weakness in one arm.",High,H08
"A swollen ankle after a fall and walking is painful, and it has not improved.",Moderate,M24
I have a small cut that has already stopped bleeding; and I am not sure what to do.,Low,L09
I would like to get checked because I have coughing up blood together with breathing difficulty.,High,H11
I have a major injury with uncontrolled bleeding and need advice.,High,H22
I have feveer that has continued for three days and need advice.,Moderate,M20
My main problem is mild skin itching with no swelling.,Low,L20
"For the past couple of days, I have had signs of dehydration such as a dry mouth and very little urine.",Moderate,M05
Can someone help me? I have a mild tension headache after a stressful day.,Low,L39
Lately I have had sudden face drooping with weakness in one arm; and I am concerned about it.,High,H08
Can someone help me? I have a mild cough with no breathing difficulty.,Low,L37
"Mild neck stiffness after sleeping awkwardly, and it has not improved.",Low,L24
I have a chemical injury to the eye with sevre pain and vision changes and need advice.,High,H33
I've got painful urination with fever since last night.,Moderate,M07
I have mild knee pain after exercise and need advice.,Low,L28
I have ongoing nausea with reduced food and fluid intake and need advice.,Moderate,M25
I've got a mild sore throat.,Low,L04
Can someone help me? I have a minor rash with no fever or swelling.,Low,L34
I've got a painful swollen finger that may be infected.,Moderate,M39
I have a migraine with nausea and sensitivity to light and need advice.,Moderate,M21
Can someone help me? I have severe asthma symptoms and unable to speak full sentences.,High,H35
"For the past couple of days, I have had heavy bleeding during pregnancy with severe abdominal pain.",High,H26
Been having mild arm soreness after normal activity for several hours.,Low,L35
I need help with a mild lower back ache after sitting for a long time; and it has not improved.,Low,L08
My main problem is mild neck stiffness after sleeping awkwardly; and it is bothering me.,Low,L24
Symptoms: a chemical injury to the eye with severe pain and vision changes.,High,H33
Symptoms: choking and unable to breathe.,High,H10
Can someone help me? I have itchy watery eyes.,Low,L06
Can someone help me? I have a small cut with light bleeding that stops with pressure.,Low,L36
"For the past couple of days, I have had worsening asthma symptoms but I can still speak normally.",Moderate,M12
I need help with choking and unable to breathe since last night.,High,H10
Can someone help me? I have severe abdominal pain together with fainting.,High,H29
Can someone help me? I have loss of consciousness and not responding normally.,High,H05
"Minor finger soreness after bumping it, and it is bothering me.",Low,L40
Been having loss of consciousness and not responding normally for two days.,High,H05
"Persistent ear pain together with fever, and it seems to be getting worse.",Moderate,M16
"A very red painful eye but i can still see normally, and I am not sure what to do.",Moderate,M30
Been having minor finger soreness after bumping it since last night.,Low,L40
"For the past couple of days, I have had persistent sinus pain with fever.",Moderate,M35
Lately I have had a painful swollen finger that may be infected; and I would like to speak to a clinician.,Moderate,M39
Can someone help me? I have a nosebleed that keeps returning but stops with pressure.,Moderate,M34
I would like to get checked because I have a small bruise with no major swelling.,Low,L17
I need help with severe breathing difficulty with confusion or extreme drowsiness for two days.,High,H40
Been having a mild lower back ache after sitting for a long time for two days.,Low,L08
The problem is a high fever that has lasted for several days; and I am not sure what to do.,Moderate,M01
Can someone help me? I have several seizures occurring close together.,High,H18
I would like to get checked because I have vomiting blood.,High,H30
"For the past couple of days, I have had a small itchy insect bite.",Low,L22
I have sevre chest pain and need advice.,High,H01
"For the past couple of days, I have had mild eye irritation without vision changes.",Low,L33
"For the past couple of days, I have had worsening fatigue with fever and poor appetite.",Moderate,M40
"A mild sore throat, and it is bothering me.",Low,L04
"A painful burn over a small area of skin, and I am concerned about it.",Moderate,M28
I've got shortness of breath when walking but I can breathe while resting; and I am not sure what to do.,Moderate,M18
I would like to get checked because I have persistent ear pain together with fever.,Moderate,M16
I would like to get checked because I have severe breathing difficulty with confusion or extreme drowsiness.,High,H40
I need help with recurrent abdominal cramps with vomiting.,Moderate,M38
Can someone help me? I have heavy bleeding that will not stop.,High,H04
I am experiencing a mild dry cough without fever; and it is bothering me.,Low,L05
Symptoms: a very high fever with stiff neck and confusion.,High,H28
I would like to get checked because I have moderate abdominal pain that is not improving.,Moderate,M09
I'm worried about a chronic condition that has become noticeably worse.,Moderate,M19
Been having vomiting blood since yesterday.,High,H30
Can someone help me? I have blue lips together with severe breathing difficulty.,High,H13
I would like to get checked because I have heavy bleeding during pregnancy with severe abdominal pain.,High,H26
"A mild dry cough without fever, and it seems to be getting worse.",Low,L05
The problem is an infected cut with increasing redness and swelling.,Moderate,M15
My main problem is a repeat prescription request with no new symptoms; and I am not sure what to do.,Low,L10
I have shortness of breath when walking but I can breathe while resting and need advice.,Moderate,M18
I have a minor rash with no feveer or swelling and need advice.,Low,L34
I've got a widespread rash with fever but no breathing difficulty.,Moderate,M27
I'm worried about a suspected medication overdose with severe drowsiness since last night.,High,H24
"Possible stroke symptoms, and I would like to speak to a clinician.",High,H07
Can someone help me? I have a small cut that has already stopped bleeding.,Low,L09
Symptoms: mild heartburn after eating.,Low,L18
I have an alergic rash with swelling but normal breathing and need advice.,Moderate,M32
I have strong chest pressure spreading to the arm or jaw.,High,H15
"For the past couple of days, I have had a cough that has persisted for more than a week.",Moderate,M26
I am experiencing itchy watery eyes; and it seems to be getting worse.,Low,L06
I'm worried about moderate abdominal pain that is not improving; and it has not improved.,Moderate,M09
I am dealing with a severe allergic reaction with throat swelling and breathing difficulty.,High,H12
Symptoms: strong chest pressure spreading to the arm or jaw.,High,H15
Can someone help me? I have a collapse and the person is not waking properly.,High,H16
I have been having recurrent abdominal cramps with vomiting; and it is bothering me.,Moderate,M38
Symptoms: a repeat prescription request with no new symptoms.,Low,L10
Can someone help me? I have a serious burn involving the face or airway.,High,H25
Symptoms: a widespread rash with fever but no breathing difficulty.,Moderate,M27
I have a widespread rash with fever but no breathing dificulty and need advice.,Moderate,M27
"For the past couple of days, I have had a small cut that has already stopped bleeding.",Low,L09
The problem is vomiting during pregnancy and struggling to keep fluids down.,Moderate,M31
Can someone help me? I have uncontrolled bleeding after a serious accident.,High,H38
The problem is a serious burn involving the face or airway; and it is bothering me.,High,H25
I've got sudden severe weakness on one side of the body.,High,H20
I have a dry patch of skin and need advice.,Low,L25
Been having shortness of breath when walking but I can breathe while resting over the last few days.,Moderate,M18
Can someone help me? I have heavy bleeding during pregnancy with severe abdominal pain.,High,H26
Symptoms: persistent vomiting and difficulty keeping food down.,Moderate,M02
Been having severe difficulty breathing at rest for several hours.,High,H02
I'm worried about a collapse and the person is not waking properly; and it has not improved.,High,H16
"For the past couple of days, I have had black tar-like stool together with severe weakness or faintness.",High,H31
Can someone help me? I have rapid swelling of the tongue or throat.,High,H34
"For the past couple of days, I have had a mild cough with no breathing difficulty.",Low,L37
Been having mild sinus pressure with no fever for the past three days.,Low,L26
I have a swolen painful joint and need advice.,Moderate,M14
Can someone help me? I have a swollen ankle after a fall and walking is painful.,Moderate,M24
I would like to get checked because I have mild skin itching with no swelling.,Low,L20
I need help with severe shortness of breath while sitting still.,High,H19
I need help with severe shortness of breath while sitting still; and I am not sure what to do.,High,H19
I would like to get checked because I have heavy bleeding that will not stop.,High,H04
Been having a repeat prescription request with no new symptoms over the last few days.,Low,L10
I have mild stomch discomfort after eating and need advice.,Low,L11
"Occasional constipation without severe pain, and it has not improved.",Low,L19
The problem is signs of dehydration such as a dry mouth and very little urine.,Moderate,M05
I would like to get checked because I have uncontrolled bleeding after a serious accident.,High,H38
Can someone help me? I have an allergic rash with swelling but normal breathing.,Moderate,M32
Can someone help me? I have worsening asthma symptoms but I can still speak normally.,Moderate,M12
"Severe chest pain, and it is bothering me.",High,H01
"Mild indigestion, and I am not sure what to do.",Low,L30
I am dealing with a collapse and the person is not waking properly since this morning.,High,H16
Can someone help me? I have a major injury with uncontrolled bleeding.,High,H22
"Choking and unable to breathe, and it has not improved.",High,H10
Symptoms: a seizure that has continued for several minutes.,High,H17
The problem is a runny nose with sneezing; and I would like to speak to a clinician.,Low,L02
"For the past couple of days, I have had a runny nose with sneezing.",Low,L02
I have pain that is strong enough to limit my normal activities since this morning.,Moderate,M03
I have a serious burn involving the face or airway and need advice.,High,H25
Can someone help me? I have an infected cut with increasing redness and swelling.,Moderate,M15
"For the past couple of days, I have had severe asthma symptoms and unable to speak full sentences.",High,H35
I have sudden face drooping with weaknes in one arm and need advice.,High,H08
I have feveer with body aches and weakness and need advice.,Moderate,M10
"A severe injury to the chest with breathing difficulty, and I would like to speak to a clinician.",High,H36
Can someone help me? I have fever with body aches and weakness.,Moderate,M10
"Vomiting blood, and I would like to speak to a clinician.",High,H30
"For the past couple of days, I have had dental swelling and significant tooth pain.",Moderate,M29
I would like to get checked because I have a deep wound with blood spurting or flowing heavily.,High,H23
"For the past couple of days, I have had a swollen ankle after a fall and walking is painful.",Moderate,M24
The problem is minor muscle aches after exercise for the past three days.,Low,L07
"For the past couple of days, I have had a mild tension headache after a stressful day.",Low,L39
I would like to get checked because I have painful urination with fever.,Moderate,M07
I am dealing with worsening asthma symptoms but I can still speak normally; and I would like to speak to a clinician.,Moderate,M12
"Mild tooth sensitivity, and I would like to speak to a clinician.",Low,L23
I have a mild headach and need advice.,Low,L01
Can someone help me? I have slight tiredness after poor sleep.,Low,L16
Symptoms: several seizures occurring close together.,High,H18
I have minor muscle aches after exercise and need advice.,Low,L07
I would like to get checked because I have mild neck stiffness after sleeping awkwardly.,Low,L24
Symptoms: ongoing nausea with reduced food and fluid intake.,Moderate,M25
I have been having mild cold symptoms.,Low,L15
Been having a seizure that has continued for several minutes for several hours.,High,H17
I have sevre abdominal pain together with fainting and need advice.,High,H29
"For the past couple of days, I have had a painful swollen finger that may be infected.",Moderate,M39
I have a mild dry cough without feveer and need advice.,Low,L05
Can someone help me? I have dental swelling and significant tooth pain.,Moderate,M29
I have severe breathing dificulty with confusion or extreme drowsiness and need advice.,High,H40
Can someone help me? I have a mild sore throat.,Low,L04
I would like to get checked because I have a swollen painful joint.,Moderate,M14
I am dealing with minor muscle aches after exercise.,Low,L07
Symptoms: possible stroke symptoms.,High,H07
Symptoms: persistent ear pain together with fever.,Moderate,M16
Can someone help me? I have severe shortness of breath while sitting still.,High,H19
Symptoms: a seizure.,High,H06
I have persistent ear pain together with feveer and need advice.,Moderate,M16
Can someone help me? I have sudden face drooping with weakness in one arm.,High,H08
"Mild cold symptoms, and I am concerned about it.",Low,L15
"Mild heartburn after eating, and I am not sure what to do.",Low,L18
Lately I have had a mild cough with no breathing difficulty.,Low,L37
Can someone help me? I have severe difficulty breathing at rest.,High,H02
Lately I have had a sore throat with fever and difficulty swallowing food.,Moderate,M36
"For the past couple of days, I have had mild heartburn after eating.",Low,L18
I've got a worsening cough together with fever since last night.,Moderate,M08
"For the past couple of days, I have had persistent diarrhoea for more than a day.",Moderate,M11
I am dealing with a sore throat with fever and difficulty swallowing food; and it is bothering me.,Moderate,M36
I have a cough that has persisted for more than a week; and I would like to speak to a clinician.,Moderate,M26
I have sudden loss of vision in one or both eyes and need advice.,High,H32
I'm worried about persistent diarrhoea for more than a day.,Moderate,M11
I have loss of consciousness and not responding normally over the last few days.,High,H05
I need help with a painful swollen finger that may be infected since last night.,Moderate,M39
"A mildly hoarse voice, and I would like to speak to a clinician.",Low,L27
Symptoms: mild arm soreness after normal activity.,Low,L35
I am experiencing vomiting during pregnancy and struggling to keep fluids down for the past three days.,Moderate,M31
I am dealing with a painful burn over a small area of skin.,Moderate,M28
"Repeated vomiting over several hours, and it seems to be getting worse.",Moderate,M17
I'm worried about worsening asthma symptoms but I can still speak normally since this morning.,Moderate,M12
The problem is mild sinus pressure with no fever for two days.,Low,L26
"A seizure, and it has not improved.",High,H06
"A chronic condition that has become noticeably worse, and I am not sure what to do.",Moderate,M19
Been having a mild tension headache after a stressful day since this morning.,Low,L39
Symptoms: mild neck stiffness after sleeping awkwardly.,Low,L24
I'm worried about a minor rash with no fever or swelling; and it is bothering me.,Low,L34
I am dealing with mild menstrual cramps that are manageable.,Low,L21
I would like to get checked because I have slight tiredness after poor sleep.,Low,L16
"For the past couple of days, I have had slight bloating after meals.",Low,L31
My main problem is pain that is strong enough to limit my normal activities; and it seems to be getting worse.,Moderate,M03
Lately I have had a nosebleed that keeps returning but stops with pressure; and I am not sure what to do.,Moderate,M34
"Fever that has continued for three days, and I would like medical advice.",Moderate,M20
Been having fever that has continued for three days over the last few days.,Moderate,M20
I would like to get checked because I have repeated vomiting over several hours.,Moderate,M17
I need help with a deep wound with blood spurting or flowing heavily.,High,H23
I would like to get checked because I have a runny nose with sneezing.,Low,L02
I am dealing with severe abdominal pain together with fainting; and it has not improved.,High,H29
"For the past couple of days, I have had blue lips together with severe breathing difficulty.",High,H13
I've got a major injury with uncontrolled bleeding; and I would like to speak to a clinician.,High,H22
I would like to get checked because I have shortness of breath when walking but I can breathe while resting.,Moderate,M18
I have heavy bleeding during pregnancy with sevre abdominal pain and need advice.,High,H26
I would like to get checked because I have a major injury with uncontrolled bleeding.,High,H22
The problem is mild eye irritation without vision changes.,Low,L33
Symptoms: severe asthma symptoms and unable to speak full sentences.,High,H35
My main problem is a seizure that has continued for several minutes.,High,H17
"Severe asthma symptoms and unable to speak full sentences, and I am not sure what to do.",High,H35
I have a seizure and need advice.,High,H06
I have becoming unresponsive after taking an unknown substance and need advice.,High,H39
My main problem is moderate abdominal pain that is not improving.,Moderate,M09
I have a nosebleed that keeps returning but stops with presure and need advice.,Moderate,M34
"For the past couple of days, I have had I cannot breathe properly.",High,H03
I've got mild stomach discomfort after eating.,Low,L11
Symptoms: coughing up blood together with breathing difficulty.,High,H11
I have persistent diarhoea for more than a day and need advice.,Moderate,M11
Symptoms: a strong headache with dizziness but no weakness on one side.,Moderate,M13
"For the past couple of days, I have had a chemical injury to the eye with severe pain and vision changes.",High,H33
Lately I have had a mildly hoarse voice; and I am not sure what to do.,Low,L27
Symptoms: mild seasonal allergy symptoms.,Low,L32
I have a mild cough with no breathing difficulty; and I would like medical advice.,Low,L37
Can someone help me? I have a widespread rash with fever but no breathing difficulty.,Moderate,M27
Can someone help me? I have a severe injury to the chest with breathing difficulty.,High,H36
I have been having a worsening cough together with fever; and it seems to be getting worse.,Moderate,M08
I have a mild tension headach after a stressful day and need advice.,Low,L39
I have mild shoulder soreness after carrying bags and need advice.,Low,L29
